key,term,cover,map,artist,title,year,license,caption_line1,note,source_file
aeaea-1,Aeaea,Y,,Dosso Dossi,Circe and Her Lovers in a Landscape,c. 1525,,"Dosso Dossi · Circe and Her Lovers in a Landscape, c. 1525","Aeaea — Circe's island, with the enchantress and her bewitched victims",File:Dosso_Dossi_003.jpg
aeaea-map,Aeaea,,Y,Abraham Ortelius,The Wanderings of Ulysses,1597,,"Abraham Ortelius · The Wanderings of Ulysses, 1597",Aeaea — Circe's mythical island in Ulysses' Mediterranean wanderings,File:Maps_of_the_peregrination_of_Ulysses_by_Abraham_Ortelius.jpeg
aeaea-w101,Aeaea,,,John Robert Cozens,Monte Circeo at Sunset,1780s,,"John Robert Cozens · Monte Circeo at Sunset, 1780s","Aeaea — Monte Circeo, the promontory long identified with Circe's island","File:John_Robert_Cozens,_Monte_Circeo_at_Sunset,_1780s,_NGA_70382.jpg"
aegae-map,Aegae,Y,Y,,Homeric Greece,,,Homeric Greece,"Aegae — a city in the northern Peloponnese, sacred to Poseidon",File:THE_ILLIAD_OF_HOMER_(translated_by_POPE)_p1.312_GRAECIA_HOMERICA.jpg
aegisthus-1,Aegisthus,Y,,Pierre-Narcisse Guérin,Clytemnestra Hesitating Before Killing the Sleeping Agamemnon,1817,,"Pierre-Narcisse Guérin · Clytemnestra Hesitating Before Killing the Sleeping Agamemnon, 1817",Aegisthus — the man at left urging her forward,File:Pierre-Narcisse_Gu%C3%A9rin_-_Clytemnestra_and_Agamemnon_-_WGA10974.jpg
aegisthus-3,Aegisthus,,,Bernardino Mei,Orestes Slaying Aegisthus and Clytemnestra,1653,,"Bernardino Mei · Orestes Slaying Aegisthus and Clytemnestra, 1653",Aegisthus — one of the two victims being killed by Orestes,File:Bernardino_Mei.jpg
aegisthus-w100,Aegisthus,,,Wind Group,The Murder of Aegisthus,c. 500 BC,,"Wind Group · The Murder of Aegisthus, c. 500 BC",Aegisthus — seated central figure being stabbed,File:Murder_Aegisthus_Louvre_K320.jpg
aegisthus-w102,Aegisthus,,,Anonymous,Sarcophagus with the Myth of Orestes,2nd century AD,CC BY-SA 4.0,"Anonymous · Sarcophagus with the Myth of Orestes, 2nd century AD (CC BY-SA 4.0)",Aegisthus — slain in the Orestes vengeance cycle depicted here,"File:Sarcofago_con_il_mito_di_Oreste,_II_sec._d.C._-FG2.jpg"
aeolia-map,Aeolia,Y,Y,Abraham Ortelius,The Wanderings of Ulysses,1597,,"Abraham Ortelius · The Wanderings of Ulysses, 1597",Aeolia — a floating island among Ulysses' mythical wanderings,File:Maps_of_the_peregrination_of_Ulysses_by_Abraham_Ortelius.jpeg
aeolus-2,Aeolus,Y,,Theodoor van Thulden,The Companions of Odysseus Open the Bag of Winds,c. 1633,,"Theodoor van Thulden · The Companions of Odysseus Open the Bag of Winds, c. 1633",,"File:De_metgezellen_van_Odysseus_maken_de_zak_open_waarin_Aeolus_de_winden_besloten_had,_RP-T-00-444.jpg"
agamemnon-1,Agamemnon,Y,,Anonymous,The Mask of Agamemnon,c. 1550 BC,,"Anonymous · The Mask of Agamemnon, c. 1550 BC",,File:Agamemnon_mask_NAMA_Athens_Greece.jpg
agamemnon-2,Agamemnon,,,Giambattista Tiepolo,The Sacrifice of Iphigenia,1757,,"Giambattista Tiepolo · The Sacrifice of Iphigenia, 1757",Agamemnon — the king ordering his daughter's sacrifice,File:Giovanni_Battista_Tiepolo_-_The_Sacrifice_of_Iphigenia_-_WGA22333.jpg
agamemnon-3,Agamemnon,,,Louis-Marie Baader,Orestes Pursued by the Furies,1875,,"Louis-Marie Baader · Orestes Pursued by the Furies, 1875",Agamemnon — the slain father avenged by Orestes over Clytemnestra's body,File:Le_Remords.jpg
agamemnon-w101,Agamemnon,,,Anonymous,Aegisthus and Clytemnestra,c. 500 BC,,"Anonymous · Aegisthus and Clytemnestra, c. 500 BC",Agamemnon — murdered by Clytemnestra and her lover Aegisthus shown here,File:Aegisthus.jpg
agamemnon-w102,Agamemnon,,,Charles de La Fosse,The Sacrifice of Iphigenia,c. 1680,,"Charles de La Fosse · The Sacrifice of Iphigenia, c. 1680","Agamemnon — at lower right, hiding his grieving face",File:Charles_de_La_Fosse_-_Le_sacrifice_d%27Iphig%C3%A9nie_-_Google_Art_Project.jpg
agamemnon-w103,Agamemnon,,,Painter of Athens 1714,Chryses and Agamemnon,c. 490 BC,,"Painter of Athens 1714 · Chryses and Agamemnon, c. 490 BC",Agamemnon — enthroned at right with sceptre,File:Chryses_Agamemnon_Louvre_K1.jpg
agamemnon-w107,Agamemnon,,,Anonymous,Lekanis with Agamemnon,c. 350 BC,,"Anonymous · Lekanis with Agamemnon, c. 350 BC","Agamemnon — the enthroned figure, inscribed AGAMEMNON",File:Lekanis_Agamemnon_MNA_Taranto.jpg
ajax-2,Ajax the Great,Y,,Exekias,The Suicide of Ajax,c. 530 BC,,"Exekias · The Suicide of Ajax, c. 530 BC",,File:Exekias_Suicide_d_Ajax_01.jpg
ajax-w100,Ajax the Great,,,John Flaxman,Scene from the Iliad,1795,,"John Flaxman · Scene from the Iliad, 1795",Ajax — the helmeted warrior at left (labeled),"File:(11)_Flaxman_Ilias_1795,_Zeichnung_1793,_186_x_283_mm.jpg"
ajax-w101,Ajax the Great,,,Workshop of the Diosphos Painter,Achilles and Ajax Playing Dice,c. 500 BC,CC BY 2.5,"Workshop of the Diosphos Painter · Achilles and Ajax Playing Dice, c. 500 BC (CC BY 2.5)",,File:Achilles_Ajax_dice_Louvre_MNB911_n2.jpg
ajax-w102,Ajax the Great,,,Asmus Jacob Carstens,Ajax,c. 1791,,"Asmus Jacob Carstens · Ajax, c. 1791",Ajax — the brooding man seated at right,File:Ajax_(Carstens).jpg
ajax-w103,Ajax the Great,,,Anonymous,The Suicide of Ajax,c. 470 BC,,"Anonymous · The Suicide of Ajax, c. 470 BC",,File:Ajax_suicide_BM_F480.jpg
ajax-w104,Ajax the Great,,,Exekias,Achilles and Ajax,c. 530 BC,,"Exekias · Achilles and Ajax, c. 530 BC",Ajax — the warrior at right (inscribed AIANTOS),File:Akhilleus_Aias_MGEt_16757.jpg
ajax-w105,Ajax the Great,,,Antimenes Painter,Black-Figure Amphora with Ajax Carrying the Dead Achilles,c. 530–520 BC,,"Antimenes Painter · Black-Figure Amphora with Ajax Carrying the Dead Achilles, c. 530–520 BC",Ajax — the warrior carrying the body over his shoulder,File:Antimenes_Painter_-_Black-figure_Amphora_with_Ajax_Carrying_the_Dead_Achilles_-_Walters_4817_-_Side_A.jpg
ajax-w107,Ajax the Great,,,Brygos Painter,Ajax Carrying the Body of Achilles,c. 490 BC,,"Brygos Painter · Ajax Carrying the Body of Achilles, c. 490 BC",Ajax — the striding figure carrying the corpse,"File:Attic_red-figure_kylix_by_Brygos_Painter,_top_-_Getty_Museum_(86.AE.286).jpg"
ajax-w108,Ajax the Great,,,Carlo Ruspi,Sacrifice of Trojan Prisoners (François Tomb),1862,,"Carlo Ruspi · Sacrifice of Trojan Prisoners (François Tomb), 1862",Ajax the Great — among the Greek warriors in this Trojan War scene,File:Fran%C3%A7ois_Tomb_Carlo_Ruspi_01.jpg
ajax-1,Ajax the Lesser,Y,,Solomon J. Solomon,Ajax and Cassandra,1886,,"Solomon J. Solomon · Ajax and Cassandra, 1886",Ajax the Lesser — the man seizing Cassandra at the altar,File:Solomon_Ajax_and_Cassandra.jpg
alcinous-2,Alcinous,Y,,August Malmström,"Odysseus before Alcinous, King of the Phaeacians",1853,,"August Malmström · Odysseus before Alcinous, King of the Phaeacians, 1853",Alcinous — the crowned king seated at center,"File:Odysseus_before_Alcinous,_King_of_the_Phaeacians_(August_Malmstr%C3%B6m)_-_Nationalmuseum_-_117888.tif"
amnisus-map,Amnisus,Y,Y,,Homeric Greece,,,Homeric Greece,Amnisus — a port of Knossos on the north coast of Crete,File:THE_ILLIAD_OF_HOMER_(translated_by_POPE)_p1.312_GRAECIA_HOMERICA.jpg
amphinomus-w101,Amphinomus,Y,,John William Waterhouse,Penelope and the Suitors,1912,,"John William Waterhouse · Penelope and the Suitors, 1912",Amphinomus — among the suitors crowding the window at right,File:JohnWilliamWaterhouse-PenelopeandtheSuitors(1912).jpg
antinous-2,Antinous,Y,,Thomas Degeorge,The Massacre of the Suitors,1812,,"Thomas Degeorge · The Massacre of the Suitors, 1812","Antinous — the lead suitor, the fallen nude figure at lower left",File:Thomas_Degeorge_Ulysse.jpg
antinous-3,Antinous,,,Anonymous,Odysseus Slays the Suitors of Penelope,c. 440 BC,,"Anonymous · Odysseus Slays the Suitors of Penelope, c. 440 BC","Antinous — the foremost suitor, the first Odysseus shot",File:Odysseus_slays_the_suitors_of_his_wife_Penelope_(Skyphos_pot).jpg
aphrodite-1,Aphrodite,Y,,Sandro Botticelli,The Birth of Venus,c. 1485,,"Sandro Botticelli · The Birth of Venus, c. 1485",,File:Sandro_Botticelli_046.jpg
aphrodite-2,Aphrodite,,,Alexandros of Antioch,Venus de Milo,c. 130 BC,,"Alexandros of Antioch · Venus de Milo, c. 130 BC",,File:Venus_de_Milo_edited.jpg
aphrodite-w100,Aphrodite,,,Jean-Auguste-Dominique Ingres,Venus Anadyomene,c. 1848,,"Jean-Auguste-Dominique Ingres · Venus Anadyomene, c. 1848",,File:1848_Jean-Auguste-Dominique_Ingres_-_Venus_Anadyom%C3%A8ne.jpg
aphrodite-w101,Aphrodite,,,Alexandre Cabanel,The Birth of Venus,1863,,"Alexandre Cabanel · The Birth of Venus, 1863",,File:1863_Alexandre_Cabanel_-_The_Birth_of_Venus.jpg
aphrodite-w102,Aphrodite,,,Anonymous,Aphrodite Sosandra,c. 150 AD,CC BY 3.0,"Anonymous · Aphrodite Sosandra, c. 150 AD (CC BY 3.0)",,"File:Afrodite_sosandra,_copia_imeprialew_da_originale_attr._a_kalamis_del_465_ac._da_baia,_153654,_01.JPG"
aphrodite-w103,Aphrodite,,,Agnolo Bronzino,"Venus, Cupid, Folly and Time",c. 1540–1545,,"Agnolo Bronzino · Venus, Cupid, Folly and Time, c. 1540–1545","Aphrodite — the central nude woman holding the apple, kissed by Cupid","File:Angelo_Bronzino_-_Venus,_Cupid,_Folly_and_Time_-_National_Gallery,_London.jpg"
aphrodite-w104,Aphrodite,,,Anonymous,Anchises and Aphrodite,c. 100 AD,CC BY-SA 3.0,"Anonymous · Anchises and Aphrodite, c. 100 AD (CC BY-SA 3.0)",Aphrodite — the seated draped woman at right,File:Anquises_y_Afrodita_-_Afrodisias.jpg
aphrodite-w105,Aphrodite,,,Aison,Aphrodite and Adonis,c. 410 BC,,"Aison · Aphrodite and Adonis, c. 410 BC",Aphrodite — the standing draped woman at left,File:Aphrodite_Adonis_Louvre_MNB2109.jpg
aphrodite-w106,Aphrodite,,,Anonymous,Aphrodite Anadyomene,c. 50 AD,,"Anonymous · Aphrodite Anadyomene, c. 50 AD",,File:Aphrodite_Anadyomene_from_Pompeii_cropped.jpg
aphrodite-w107,Aphrodite,,,Anonymous,The Heyl Aphrodite,2nd century BC,,"Anonymous · The Heyl Aphrodite, 2nd century BC",,File:Aphrodite_Heyl_(2).jpg
aphrodite-w108,Aphrodite,,,Anonymous,Aphrodite of Fréjus,c. 100 AD,,"Anonymous · Aphrodite of Fréjus, c. 100 AD",,File:Aphrodite_Naples_Fr%C3%A9jus_-_Mus%C3%A9e_du_Louvre_AGER_Ma_335_;_MR_369_;_N_530.jpg
aphrodite-w109,Aphrodite,,,Pistoxenos Painter,Aphrodite Riding a Swan,c. 460 BC,CC BY 2.5,"Pistoxenos Painter · Aphrodite Riding a Swan, c. 460 BC (CC BY 2.5)",,File:Aphrodite_swan_BM_D2.jpg
apollo-1,Apollo,Y,,after Leochares,Apollo Belvedere,c. 120 AD,,"after Leochares · Apollo Belvedere, c. 120 AD",,File:Apollo_del_Belvedere_(Vatican_Museums)_September_2015-1.jpg
apollo-2,Apollo,,,after Guido Reni,Aurora,1614,,"after Guido Reni · Aurora, 1614","Apollo — the youth driving the chariot, amid the dancing Hours",File:Guido_Reni_(1575-1642)_(after)_-_Aurora_-_719805_-_National_Trust.jpg
apollo-3,Apollo,,,Alexander Ivanov,"Apollo, Hyacinthus and Cyparissus Singing and Playing",1831,,"Alexander Ivanov · Apollo, Hyacinthus and Cyparissus Singing and Playing, 1831",Apollo — the laurel-crowned youth seated at center,"File:Apollo,_Hyacinthus_and_Cyparis_singing_and_playing_by_Alexander_Ivanov.jpg"
apollo-w100,Apollo,,,Palma il Giovane,Apollo,c. 1575,,"Palma il Giovane · Apollo, c. 1575","Apollo — the laurel-crowned youth with the lyre, at center",File:05apol1.jpg
apollo-w101,Apollo,,,Workshop of Hendrik Goltzius,Apollo Entrusting Chiron with the Education of Asclepius,1590,,"Workshop of Hendrik Goltzius · Apollo Entrusting Chiron with the Education of Asclepius, 1590","Apollo — the standing human figure at right, handing over the infant","File:1590._Apollo_Entrusting_Chiron_with_the_Education_of_Aescalapius_-_etching_-_Washington_DC,_NGA.jpg"
apollo-w102,Apollo,,,François Gaspard Adam,Apollo with the Slain Python,1752,CC BY-SA 3.0,"François Gaspard Adam · Apollo with the Slain Python, 1752 (CC BY-SA 3.0)",,File:7003.Apollo_mit_dem_get%C3%B6teten_Python(1752)-Fran%C3%A7ois_Gaspard_Adam-Gro%C3%9Fe_Font%C3%A4ne-Sanssouci_Steffen_Heilfort.JPG
apollo-w105,Apollo,,,Anonymous,Apollo,c. 150 AD,CC BY-SA 4.0,"Anonymous · Apollo, c. 150 AD (CC BY-SA 4.0)",,File:Antalya_Museum_06022022_009.jpg
apollo-w106,Apollo,,,Brygos Painter,Apollo and Artemis,c. 470 BC,,"Brygos Painter · Apollo and Artemis, c. 470 BC",Apollo — the figure holding the lyre,File:Apollo_Artemis_Brygos_Louvre_G151.jpg
apollo-w107,Apollo,,,Penthesilea Painter,Apollo and Tityos,c. 460 BC,,"Penthesilea Painter · Apollo and Tityos, c. 460 BC","Apollo — the archer at left, drawing his bow",File:Apollo_Tityos_Staatliche_Antikensammlungen_2689.jpg
apollo-w109,Apollo,,,Anonymous,Chryselephantine Head of Apollo,c. 550 BC,CC BY-SA 4.0,"Anonymous · Chryselephantine Head of Apollo, c. 550 BC (CC BY-SA 4.0)",,"File:Apollo,_torso_of_cult_statue,_ivory,_gold,_550_BC,_AM_Delphi,_060068.jpg"
ares-1,Ares,Y,,Diego Velázquez,Mars Resting,c. 1640,,"Diego Velázquez · Mars Resting, c. 1640",,"File:Diego_Vel%C3%A1zquez_-_Mars,_God_of_War_-_WGA24429.jpg"
ares-2,Ares,,,Roman copy,Ludovisi Ares,2nd c. AD,,"Roman copy · Ludovisi Ares, 2nd c. AD",,File:Statue_of_Seated_Ares_06.jpg
ares-3,Ares,,,Gerard van Honthorst,"Mars, God of War",2016,,"Gerard van Honthorst · Mars, God of War, 2016",,"File:Gerrit_van_honthorst,_marte,_dio_della_guerra,_1624-27,_01.jpg"
ares-4,Ares,,,Gerard van Honthorst,"Mars, God of War",1624,,"Gerard van Honthorst · Mars, God of War, 1624",,"File:Honthorst_-_Mars,_God_of_War,_1624-27,_M1975.121.jpg"
ares-w101,Ares,,,Anonymous,Ares,c. 100 AD,,"Anonymous · Ares, c. 100 AD",,File:Ares_Argentina_Montemartini.jpg
ares-w102,Ares,,,Anonymous,Ares,c. 130 AD,CC BY-SA 3.0,"Anonymous · Ares, c. 130 AD (CC BY-SA 3.0)",,File:Ares_Canope_Villa_Adriana_b.jpg
ares-w103,Ares,,,Anonymous,Ares Ludovisi,c. 100 AD,,"Anonymous · Ares Ludovisi, c. 100 AD",,File:Ares_Ludovisi_Altemps_Inv8602_n2.jpg
ares-w104,Ares,,,Pheidias,"Parthenon Frieze, East Side",c. 440 BC,CC BY-SA 4.0,"Pheidias · Parthenon Frieze, East Side, c. 440 BC (CC BY-SA 4.0)",Ares — among the seated gods,File:Parthenon_frieze_east_IV_fragment.JPG
ares-w105,Ares,,,Anonymous,Ares and Aphrodite,c. 50 AD,CC BY-SA 4.0,"Anonymous · Ares and Aphrodite, c. 50 AD (CC BY-SA 4.0)",Ares — the helmeted warrior standing behind the seated woman,File:Wall_painting_-_Ares_and_Aphrodite_-_Pompeii_(VII_2_23)_-_Napoli_MAN_9249_-_03.jpg
arete-1,Arete,Y,,Francesco Hayez,Ulysses at the Court of Alcinous,1815,,"Francesco Hayez · Ulysses at the Court of Alcinous, 1815","Arete — the queen, the seated woman among the courtiers at left",File:Francesco_Hayez_028.jpg
arethusa-map,Arethusa,Y,Y,,Homeric Greece,,,Homeric Greece,Arethusa — a spring on Ithaca in the Ionian Sea,File:THE_ILLIAD_OF_HOMER_(translated_by_POPE)_p1.312_GRAECIA_HOMERICA.jpg
argos-1,Argos,Y,,Anonymous,Odysseus Recognized by His Dog Argos,—,,"Anonymous · Odysseus Recognized by His Dog Argos, —","Argos — the dog at the men's feet, lower center","File:Odysseus_door_zijn_hond_Argus_herkend_De_werken_van_Odysseus_(serietitel),_RP-P-OB-66.765.jpg"
argos-city-map,Argos (the city),Y,Y,,Homeric Greece,,,Homeric Greece,Argos — a city and region in the northeast Peloponnese; also used for Greece itself,File:THE_ILLIAD_OF_HOMER_(translated_by_POPE)_p1.312_GRAECIA_HOMERICA.jpg
artaky-map,Artaky,Y,Y,Abraham Ortelius,The Wanderings of Ulysses,1597,,"Abraham Ortelius · The Wanderings of Ulysses, 1597",Artaky — a spring on the distant island of the Laestrygonian giants,File:Maps_of_the_peregrination_of_Ulysses_by_Abraham_Ortelius.jpeg
artemis-1,Artemis,Y,,after Leochares,Diana of Versailles,2nd c. AD,,"after Leochares · Diana of Versailles, 2nd c. AD",,File:Detail_Diana_Versailles_Louvre_Ma589.jpg
artemis-2,Artemis,,,Abraham Genoels,Landscape with Diana Hunting,1685,,"Abraham Genoels · Landscape with Diana Hunting, 1685",Diana (Artemis) — the hunters with hounds at lower right,File:Landschap_met_Diana_op_jacht_Rijksmuseum_SK-A-1838.jpeg
artemis-3,Artemis,,,Louis Devedeux,"Diana, Goddess of the Hunt, Surrounded by Her Servants",1850,,"Louis Devedeux · Diana, Goddess of the Hunt, Surrounded by Her Servants, 1850","Artemis — the seated nude woman at center, with the hound",File:Louis_Devedeux_-_Diana_goddess_of_the_hunt_surrounded_by_her_servants_in_a_luminous_forest_setting.jpg
artemis-4,Artemis,,,Pietro Rotari,"Diana, Goddess of the Hunt, Leaning Against a Tree",1720,,"Pietro Rotari · Diana, Goddess of the Hunt, Leaning Against a Tree, 1720",,"File:Pietro_Antonio_Rotari_-_Diana,_goddess_of_the_hunt,_leaning_against_a_tree.jpg"
artemis-w100,Artemis,,,Anonymous,Artemis (Diana),c. 100 AD,CC BY-SA 3.0,"Anonymous · Artemis (Diana), c. 100 AD (CC BY-SA 3.0)",,File:0_Art%C3%A9mis_(Diane)_-_Galleria_dei_Candelabri_-_Vatican.JPG
artemis-w101,Artemis,,,Adam Carr,Ruins of the Temple of Artemis at Ephesus,,CC BY-SA 3.0,Adam Carr · Ruins of the Temple of Artemis at Ephesus (CC BY-SA 3.0),,File:Ac_artemisephesus.jpg
artemis-w102,Artemis,,,Comacchio Painter,Apollo and Artemis,c. 450 BC,CC BY 2.5,"Comacchio Painter · Apollo and Artemis, c. 450 BC (CC BY 2.5)",,File:Apollo_Artemis_Delos_MAN.jpg
artemis-w103,Artemis,,,Anonymous,Leto Fleeing with Artemis and Apollo,c. 350–400 AD,CC BY 3.0,"Anonymous · Leto Fleeing with Artemis and Apollo, c. 350–400 AD (CC BY 3.0)",,"File:Arte_romana,_latona_in_fuga_con_artemide_e_apollo,_350-400_dc_ca._(kunstsien_stichting).jpg"
artemis-w104,Artemis,,,Anonymous,Artemis,c. 100 AD,,"Anonymous · Artemis, c. 100 AD",,"File:Artemis_(BM_1899,0120.160).jpg"
artemis-w105,Artemis,,,Anonymous,Artemis of the Rospigliosi Type,c. 1st–2nd century AD,CC BY-SA 2.0,"Anonymous · Artemis of the Rospigliosi Type, c. 1st–2nd century AD (CC BY-SA 2.0)",,"File:Artemis_(Diana)_from_the_%22Rospigliosi_type%22,_Roman_copy_of_the_1st%E2%80%932nd_centuries_AD_after_a_Hellenistic_original,_Louvre_Museum_(7462739810).jpg"
artemis-w106,Artemis,,,Attributed to the Herakles Painter,Artemis,c. 370–350 BC,,"Attributed to the Herakles Painter · Artemis, c. 370–350 BC",Artemis — the standing woman with the deer,File:Artemis_BM_E432.jpg
artemis-w107,Artemis,,,Anonymous,Artemis Hekate,c. 200 AD,CC BY-SA 2.0,"Anonymous · Artemis Hekate, c. 200 AD (CC BY-SA 2.0)",,"File:Artemis_Hekate._Apollonia,_Albania.jpg"
artemis-w108,Artemis,,,Anonymous,Artemis,c. 100 AD,CC BY 2.5,"Anonymous · Artemis, c. 100 AD (CC BY 2.5)",,File:Artemis_Manicalunga_MAR_Palermo.jpg
artemis-w109,Artemis,,,Anonymous,Artemis and the Hind,c. 325 BC,,"Anonymous · Artemis and the Hind, c. 325 BC",,File:Artemis_and_Hind.jpg
asteris-map,Asteris,Y,Y,,Homeric Greece,,,Homeric Greece,Asteris — a small island near Ithaca in the Ionian Sea,File:THE_ILLIAD_OF_HOMER_(translated_by_POPE)_p1.312_GRAECIA_HOMERICA.jpg
athena-1,Athena,Y,,Gustav Klimt,Pallas Athene,1898,,"Gustav Klimt · Pallas Athene, 1898",,File:Klimt_-_Pallas_Athene.jpeg
athena-2,Athena,,,Roman copy,Athena Giustiniani,2nd c. AD,,"Roman copy · Athena Giustiniani, 2nd c. AD",,"File:Athena_Giustiniani,_Vatican_Museums.jpg"
athena-4,Athena,,,Anonymous,Portrait of an Elegant Family with the Goddess Minerva,1650,,"Anonymous · Portrait of an Elegant Family with the Goddess Minerva, 1650","Athena (Minerva) — helmeted, armored figure with spear at center-right",File:Portrait_of_an_elegant_family_with_the_goddess_Minerva_Dutch_17c.jpg
athena-w100,Athena,,,Leo von Klenze,The Acropolis at Athens,1846,,"Leo von Klenze · The Acropolis at Athens, 1846",,File:Akropolis_by_Leo_von_Klenze.jpg
athena-w101,Athena,,,Anonymous,The Birth of Athena,c. 550 BC,,"Anonymous · The Birth of Athena, c. 550 BC",,File:Amphora_birth_Athena_Louvre_F32.jpg
athena-w102,Athena,,,Anonymous,Athena,c. 150 AD,CC BY-SA 4.0,"Anonymous · Athena, c. 150 AD (CC BY-SA 4.0)",,File:Antalya_Museum_06022022_003.jpg
athena-w103,Athena,,,Anonymous,Athena Farnese,c. 140 AD,CC BY 3.0,"Anonymous · Athena Farnese, c. 140 AD (CC BY 3.0)",,"File:Atena_farnese,_copia_romana_da_orig._greco_della_cerchia_fidiaca,_forse_Pyrrhos_nel_430_ac_ca.,_6024,_01.JPG"
